YEAR,Atmosphere,DEL 14 Bulk,14C OF CO2,Del pool 1,Del pool 2
2003.45,72.94046679,125.1067592,117.7381729,117.1336424,128.5238092
2003.53,76.70555791,124.9272122,117.2077467,116.5744295,128.5069762
2003.62,74.80611983,124.7256423,116.6138481,115.9483436,128.4873418
2003.7,70.82161757,124.5594827,116.1264493,115.4345898,128.470151
2003.79,71.80347449,124.4745313,115.8847776,115.1800605,128.4578759
2003.87,73.08465906,124.3383264,115.4889349,114.7629167,128.4420735
2003.95,75.06126544,124.2581715,115.2618792,114.523809,128.4300411
2004.04,69.58539701,123.9914514,114.4787134,113.6982732,128.4028135
2004.12,72.45612378,123.8780852,114.1549016,113.357196,128.3870377
2004.2,71.84966648,123.7186116,113.6939324,112.8714917,128.3673773
2004.28,72.03798534,123.6013781,113.3605855,112.5204145,128.3503625
2004.37,70.63549173,123.5202053,113.1383239,112.2865778,128.334617
2004.45,69.03563487,123.403565,112.8081756,111.9389129,128.3169873
2004.53,67.73383655,123.267421,112.4205047,111.5306064,128.2974844
2004.62,68.02023699,123.0654734,111.8394911,110.9184936,128.2713219
2004.7,67.71188023,122.9467465,111.5064602,110.5678808,128.2519746
2004.79,65.41544945,122.7056438,110.810918,109.8350557,128.2216101
2004.87,67.88860131,122.5705628,110.431605,109.4357055,128.1997874
2004.95,65.59350457,122.3952891,109.9329715,108.9105431,128.174466
2005.04,67.96597824,122.2518878,109.5344217,108.4910605,128.1493852
2005.12,66.56494697,122.1044022,109.1212603,108.0561026,128.125102
2005.2,66.1572878,121.9189212,108.5954403,107.5023607,128.0974471
2005.28,67.63697383,121.7205047,108.0322615,106.9092561,128.0681827
2005.37,65.8373665,121.5262422,107.486983,106.3351798,128.0366976
2005.45,63.34376478,121.2912985,106.8173328,105.6298655,128.0033412
2005.53,63.83012754,121.1384607,106.3951503,105.1855856,127.9754071
2005.62,64.71251121,120.9798057,105.961171,104.7290182,127.9444289
2005.7,63.90758,120.7730309,105.3797299,104.1168389,127.911399
2005.79,65.28658154,120.5957381,104.8928824,103.6045951,127.8776566
2005.87,62.79311131,120.4890816,104.613813,103.3113806,127.8509535
2005.95,61.6902462,120.3604226,104.2695788,102.9494603,127.8222636
2006.04,63.16855426,120.1344299,103.6401037,102.2868828,127.7833786
2006.12,64.74744128,119.9372284,103.0931946,101.7112831,127.7483479
2006.2,62.75068785,119.7340409,102.5297629,101.1182964,127.7122171
2006.28,61.64786677,119.5880262,102.1388798,100.707324,127.6797557
2006.37,58.25941367,119.6262855,102.306377,100.8854241,127.6580833
2006.45,60.23556273,119.4819592,101.9210086,100.4802802,127.6255359
2006.53,60.32462138,119.3521399,101.5800194,100.1219662,127.5936429
2006.62,59.71717336,119.2066951,101.1991545,99.72178714,127.55737
2006.7,59.50828552,119.0273301,100.7116586,99.20901168,127.5208951
2006.79,60.19195892,118.7935073,100.0687226,98.53251137,127.4767913
2006.87,59.88375613,118.5482174,99.38677717,97.814742,127.4339926
2006.95,58.48311088,118.3306411,98.78951556,97.18633041,127.3924885
2007.04,57.27983877,118.0707743,98.07412498,96.43356793,127.3438627
2007.12,53.49577271,117.9408312,97.7424702,96.0853644,127.3074599
2007.2,56.06765054,117.8079387,97.40279194,95.7287211,127.2704606
2007.28,60.82428793,117.6788686,97.07537791,95.38503462,127.2333688
2007.37,57.5355607,117.5061018,96.62543314,94.91234973,127.1891384
2007.45,58.12117181,117.4127496,96.40681508,94.68345466,127.1538759
2007.53,54.43659128,117.279855,96.07034982,94.33028813,127.1153837
2007.62,56.01399902,117.0657417,95.49937599,93.73003689,127.0667581
2007.7,56.20238894,116.9393257,95.18453382,93.39973595,127.0277213
2007.79,57.28322781,116.8065009,94.85929433,93.05871045,126.9841253
2007.87,55.58485515,116.6341289,94.4084281,92.5849961,126.9409001
2007.95,55.07813292,116.5368951,94.18355405,92.34965024,126.9028572
2008.04,54.17294319,116.319856,93.60895264,91.74571385,126.8516312
2008.12,55.95013171,116.1495499,93.1673133,91.28181389,126.8071511
2008.2,56.03921177,115.9632418,92.67886267,90.768575,126.7609562
2008.28,52.35498472,115.8047331,92.27481734,90.34438546,126.7163107
2008.37,53.63438169,115.6449413,91.87682741,89.92685338,126.6669789
2008.45,50.84391266,115.4630229,91.404647,89.43085941,126.6196643
2008.53,51.23092168,115.2821717,90.93681781,88.93948608,126.5718942
2008.62,53.20534582,115.1468122,90.61560796,88.60302878,126.5227193
2008.7,52.40081427,115.0482003,90.39579861,88.3732762,126.4803106
2008.79,49.21203298,114.9355739,90.14400497,88.11006505,126.4322206
2008.87,52.37917325,114.7402521,89.63578952,87.57617932,126.3819975
2008.95,51.8725421,114.5846335,89.24764965,87.16896303,126.3342066
2009.04,51.56322564,114.4017246,88.78857654,86.68723296,126.2793639
2009.12,50.85803776,114.2102224,88.29506762,86.16894693,126.2279119
2009.2,52.03930611,114.0465805,87.88614616,85.73990233,126.178014
2009.28,49.94413011,113.9160275,87.57723447,85.41635781,126.1301717
2009.37,49.53556213,113.7598593,87.20268668,85.02389382,126.0752731
2009.45,52.10677563,113.7180288,87.16089598,84.98210638,126.0334242
2009.53,50.60735699,113.5725417,86.8088704,84.61313605,125.9837156
2009.7,49.49366787,113.2684315,86.07767991,83.84690722,125.8776562
2009.79,52.36134425,113.1302247,85.76071161,83.51527303,125.8223469
2009.87,51.85476851,113.0372561,85.56910876,83.31557807,125.7751181
2009.95,51.74531228,112.8381679,85.06029261,82.78135135,125.7196607
2010.28,49.81713354,112.3103285,83.84463836,81.50926766,125.5107832
2010.37,49.80570461,112.1535639,83.47784794,81.12524639,125.4514143
2010.45,47.41303094,111.9540078,82.97244649,80.59475291,125.3936884
2010.53,50.57955069,111.7792015,82.54233859,80.14369965,125.3372738
2010.7,49.66453112,111.4682555,81.81164508,79.37856939,125.2209782
2010.79,47.66775657,111.3543223,81.57838705,79.13552176,125.1623797
2010.87,50.04001198,111.1657962,81.11038485,78.64459089,125.1034557
2011.04,44.95593706,110.8832506,80.47162799,77.97660988,124.9860967
2011.12,43.35761062,110.7508228,80.17405778,77.66549114,124.9302506
2011.2,41.06447793,110.62648,79.90134452,77.38060533,124.874712
2012.2,44.57974,108.8371486,75.79635166,73.08563189,124.1592273
2012.4,44.09908,108.5834681,75.31026125,72.58047421,124.0133226
2012.6,43.61842,108.2958423,74.72489681,71.97068282,123.8637678
2012.8,43.13776,108.0444806,74.25103914,71.47857121,123.7155847
2013,42.6571,107.7999986,73.79999417,71.01057949,123.5668925
2013.2,42.17644,107.4787302,73.12119792,70.30245109,123.4114212
2013.4,41.69578,107.2885957,72.83844153,70.01209585,123.2642385
2013.6,41.21512,107.0147298,72.30601346,69.45845493,123.1102762
2013.8,40.73446,106.8617203,72.13787997,69.28908065,122.9642801
