sample #,date,conce,change,point,depth,date2,landuse,soy_age,conce_running,jar_vol_mL,jar_vol_L,soil_mass_g,conversion_mgC_mLair,days_accum,C_evolv_mgC_gsoil_day,cumCO2
4,10/12/2014,33706.6,25421.4,FP3,0-10,2,forest,forest,33706.6,1011.16,1.011155328,100.02,0.000495868,3,0.0563,0.0563
5,10/12/2014,1510.7,1181.3,FP3,40-50,2,forest,forest,1510.7,952.11,0.952109333,100.01,0.000495868,3,0.0024,0.0587
6,10/12/2014,393.4,47.7,FP3,190-200,2,forest,forest,393.4,965.96,0.965958115,99.97,0.000495868,3,0.0006,0.0593
7,10/12/2014,16486.8,14945.6,FP4,0-10,2,forest,forest,16486.8,973.03,0.973025934,59.98,0.000495868,3,0.0442,0.0442
8,10/12/2014,423.2,178.3,FP4,40-50,2,forest,forest,423.2,953.25,0.953249071,99.97,0.000495868,3,0.0007,0.0449
9,10/12/2014,539.9,34.7,FP4,190-200,2,forest,forest,539.9,946.45,0.94644898,100.02,0.000495868,3,0.0008,0.0457
10,10/12/2014,57435.3,31238.7,FP7,0-10,2,forest,forest,57435.3,949.84,0.949837552,100.01,0.000495868,3,0.0902,0.0902
11,10/12/2014,3834.6,2418,FP7,40-50,2,forest,forest,3834.6,989.9,0.98990328,99.98,0.000495868,3,0.0063,0.0965
12,10/12/2014,649.9,154.2,FP7,190-200,2,forest,forest,649.9,976.6,0.976596571,99.98,0.000495868,3,0.001,0.0975
13,10/12/2014,11323,5575.4,S03P1,0-10,2,soy,old,11323,944.2,0.944202567,100.02,0.000495868,3,0.0177,0.0177
14,10/12/2014,470.8,241.8,S03P1,40-50,2,soy,old,470.8,947.58,0.947575969,99.96,0.000495868,3,0.0007,0.0184
15,10/12/2014,475,24.5,S03P1,190-200,2,soy,old,475,955.54,0.95553628,99.98,0.000495868,3,0.0008,0.0192
16,10/12/2014,19263.1,10589.3,S07P2,0-10,2,soy,young,19263.1,1123.96,1.123963034,99.97,0.000495868,3,0.0358,0.0358
17,10/12/2014,3500,2858.6,S07P2,40-50,2,soy,young,3500,932.39,0.932389447,100.03,0.000495868,3,0.0054,0.0412
18,10/12/2014,371.1,34.2,S07P2,190-200,2,soy,young,371.1,934.58,0.934583141,100.02,0.000495868,3,0.0006,0.0418
19,10/12/2014,12869.6,5941.2,S08P3,0-10,2,soy,young,12869.6,920.85,0.920851651,79.98,0.000495868,3,0.0245,0.0245
20,10/12/2014,579.3,131.9,S08P3,40-50,2,soy,young,579.3,969.48,0.969479867,99.99,0.000495868,3,0.0009,0.0254
21,10/12/2014,695.7,50.9,S08P3,190-200,2,soy,young,695.7,929.48,0.929479566,99.99,0.000495868,3,0.0011,0.0265
22,10/12/2014,8635.1,4776.8,S08P5,0-10,2,soy,young,8635.1,935.32,0.935316534,100.01,0.000495868,3,0.0133,0.0133
23,10/12/2014,4122,2807.5,S08P5,40-50,2,soy,young,4122,936.42,0.936418658,99.99,0.000495868,3,0.0064,0.0197
24,10/12/2014,545.3,99.2,S08P5,190-200,2,soy,young,545.3,916.59,0.916594003,100.01,0.000495868,3,0.0008,0.0205
25,10/12/2014,13010.1,7380.2,S03P4,0-10,2,soy,old,13010.1,976.6,0.976596571,70.4176,0.000495868,3,0.0298,0.0298
